compte_courant,duree_mois,historique_credit,objectif_credit,montant_credit,epargne,emploi_depuis,taux_remboursement,statut_personnel,garants,residence_depuis,patrimoine,age,autres_credits,logement,nb_credits_banque,emploi,personnes_a_charge,telephone,travailleur_etranger,classe
>= 200 DM,24,Crédits en cours remboursés,Meubles/Équipement,1925,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Immobilier,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Radio/Télévision,433,< 100 DM,Sans emploi,3,Femme divorcée/mariée,Co-demandeur,4,Immobilier,22,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),6,Compte critique / autres crédits,Voiture (neuve),666,>= 1000 DM,4-7 ans,3,Femme divorcée/mariée,Aucun,4,Immobilier,39,Aucun,Propriétaire,2,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
>= 200 DM,12,Crédits en cours remboursés,Meubles/Équipement,2251,< 100 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,2,Voiture ou autre,46,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,30,Crédits en cours remboursés,Voiture (neuve),2150,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Garant,2,Aucun patrimoine,24,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Retards de paiement passés,Meubles/Équipement,4151,100-500 DM,1-4 ans,2,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,35,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Meubles/Équipement,2030,Pas d'épargne,4-7 ans,2,Homme célibataire,Aucun,1,Voiture ou autre,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,60,Retards de paiement passés,Radio/Télévision,7418,Pas d'épargne,1-4 ans,1,Homme célibataire,Aucun,1,Immobilier,27,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,24,Compte critique / autres crédits,Radio/Télévision,2684,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Immobilier,35,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),12,Tous crédits remboursés ici,Radio/Télévision,2149,< 100 DM,1-4 ans,4,Homme divorcé/séparé,Aucun,1,Aucun patrimoine,29,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,15,Crédits en cours remboursés,Voiture (occasion),3812,100-500 DM,< 1 an,1,Femme divorcée/mariée,Aucun,4,Voiture ou autre,23,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,11,Compte critique / autres crédits,Radio/Télévision,1154,100-500 DM,Sans emploi,4,Femme divorcée/mariée,Aucun,4,Immobilier,57,Aucun,Propriétaire,3,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Meubles/Équipement,1657,< 100 DM,1-4 ans,2,Homme célibataire,Aucun,2,Immobilier,27,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),24,Crédits en cours remboursés,Radio/Télévision,1603,< 100 DM,>= 7 ans,4,Femme divorcée/mariée,Aucun,4,Voiture ou autre,55,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),18,Compte critique / autres crédits,Voiture (neuve),5302,< 100 DM,>= 7 ans,2,Homme célibataire,Aucun,4,Aucun patrimoine,36,Aucun,Gratuit,3,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Éducation,2748,< 100 DM,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,57,Banque,Gratuit,3,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,10,Compte critique / autres crédits,Voiture (neuve),1231,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Immobilier,32,Aucun,Propriétaire,2,Non qualifié (résident),2,Non,Non,Bon client
0-200 DM,15,Crédits en cours remboursés,Radio/Télévision,802,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Voiture ou autre,37,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,36,Compte critique / autres crédits,Business,6304,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Immobilier,36,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,1533,< 100 DM,< 1 an,4,Femme divorcée/mariée,Aucun,3,Voiture ou autre,38,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),14,Crédits en cours remboursés,Voiture (neuve),8978,< 100 DM,>= 7 ans,1,Homme divorcé/séparé,Aucun,4,Épargne logement/Assurance vie,45,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Non,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,999,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,25,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,18,Crédits en cours remboursés,Voiture (neuve),2662,Pas d'épargne,4-7 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,32,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Non,Bon client
Pas de compte,12,Compte critique / autres crédits,Meubles/Équipement,1402,500-1000 DM,4-7 ans,3,Femme divorcée/mariée,Aucun,4,Voiture ou autre,37,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,48,Tous crédits remboursés ici,Voiture (neuve),12169,Pas d'épargne,Sans emploi,4,Homme célibataire,Co-demandeur,4,Aucun patrimoine,36,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,48,Crédits en cours remboursés,Radio/Télévision,3060,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,4,Immobilier,28,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),30,Crédits en cours remboursés,Réparations,11998,< 100 DM,< 1 an,1,Homme divorcé/séparé,Aucun,1,Aucun patrimoine,34,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Mauvais client
Pas de compte,9,Crédits en cours remboursés,Radio/Télévision,2697,< 100 DM,1-4 ans,1,Homme célibataire,Aucun,2,Immobilier,32,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
Pas de compte,18,Compte critique / autres crédits,Radio/Télévision,2404,< 100 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,2,Voiture ou autre,26,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Meubles/Équipement,1262,Pas d'épargne,>= 7 ans,2,Homme divorcé/séparé,Aucun,4,Épargne logement/Assurance vie,49,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,6,Crédits en cours remboursés,Meubles/Équipement,4611,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,32,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,24,Crédits en cours remboursés,Radio/Télévision,1901,100-500 DM,1-4 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,29,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Voiture (occasion),3368,>= 1000 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,23,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Crédits en cours remboursés,Meubles/Équipement,1574,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Immobilier,50,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,18,Tous crédits remboursés ici,Radio/Télévision,1445,Pas d'épargne,4-7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,49,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Meubles/Équipement,1520,Pas d'épargne,>= 7 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,63,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,24,Compte critique / autres crédits,Voiture (neuve),3878,100-500 DM,< 1 an,4,Homme divorcé/séparé,Aucun,2,Voiture ou autre,37,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),47,Crédits en cours remboursés,Voiture (neuve),10722,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,1,Immobilier,35,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),48,Crédits en cours remboursés,Voiture (occasion),4788,< 100 DM,4-7 ans,4,Homme célibataire,Aucun,3,Épargne logement/Assurance vie,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
0-200 DM,48,Retards de paiement passés,Autres,7582,100-500 DM,Sans emploi,2,Homme célibataire,Aucun,4,Aucun patrimoine,31,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Radio/Télévision,1092,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Garant,4,Immobilier,49,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),24,Retards de paiement passés,Radio/Télévision,1024,< 100 DM,< 1 an,4,Homme marié/veuf,Aucun,4,Immobilier,48,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Business,1076,< 100 DM,1-4 ans,2,Homme marié/veuf,Aucun,2,Immobilier,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Non,Bon client
0-200 DM,36,Crédits en cours remboursés,Voiture (occasion),9398,< 100 DM,< 1 an,1,Homme marié/veuf,Aucun,4,Voiture ou autre,28,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
< 0 DM (découvert),24,Compte critique / autres crédits,Voiture (occasion),6419,< 100 DM,>= 7 ans,2,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,44,Aucun,Gratuit,2,Cadre/Indépendant/Dirigeant,2,Oui (à son nom),Oui,Bon client
>= 200 DM,42,Compte critique / autres crédits,Voiture (occasion),4796,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,56,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,48,Compte critique / autres crédits,Business,7629,Pas d'épargne,>= 7 ans,4,Homme divorcé/séparé,Aucun,2,Voiture ou autre,46,Banque,Propriétaire,2,Cadre/Indépendant/Dirigeant,2,Non,Oui,Bon client
0-200 DM,48,Crédits en cours remboursés,Meubles/Équipement,9960,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,2,Voiture ou autre,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Voiture (occasion),4675,Pas d'épargne,< 1 an,1,Femme divorcée/mariée,Aucun,4,Voiture ou autre,20,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,10,Crédits en cours remboursés,Voiture (neuve),1287,Pas d'épargne,>= 7 ans,4,Homme célibataire,Co-demandeur,2,Épargne logement/Assurance vie,45,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Non,Bon client
Pas de compte,18,Crédits en cours remboursés,Meubles/Équipement,2515,< 100 DM,1-4 ans,3,Homme célibataire,Aucun,4,Immobilier,43,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,21,Compte critique / autres crédits,Meubles/Équipement,2745,>= 1000 DM,4-7 ans,3,Homme célibataire,Aucun,2,Voiture ou autre,32,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,6,Crédits en cours remboursés,Voiture (neuve),672,< 100 DM,Sans emploi,1,Femme divorcée/mariée,Aucun,4,Immobilier,54,Aucun,Propriétaire,1,Sans emploi/Non qualifié (non-résident),1,Oui (à son nom),Oui,Bon client
0-200 DM,36,Aucun crédit / tous remboursés,Radio/Télévision,3804,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,1,Voiture ou autre,42,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
>= 200 DM,24,Compte critique / autres crédits,Voiture (neuve),1344,Pas d'épargne,4-7 ans,4,Homme célibataire,Aucun,2,Immobilier,37,Banque,Propriétaire,2,Non qualifié (résident),2,Non,Oui,Mauvais client
< 0 DM (découvert),10,Compte critique / autres crédits,Voiture (neuve),1038,< 100 DM,4-7 ans,4,Homme célibataire,Co-demandeur,3,Épargne logement/Assurance vie,49,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,48,Compte critique / autres crédits,Voiture (neuve),10127,500-1000 DM,1-4 ans,2,Homme célibataire,Aucun,2,Aucun patrimoine,44,Banque,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
Pas de compte,6,Crédits en cours remboursés,Meubles/Équipement,1543,>= 1000 DM,1-4 ans,4,Homme divorcé/séparé,Aucun,2,Immobilier,33,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,30,Crédits en cours remboursés,Voiture (occasion),4811,Pas d'épargne,4-7 ans,2,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,24,Magasins,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),12,Crédits en cours remboursés,Radio/Télévision,727,100-500 DM,< 1 an,4,Homme marié/veuf,Aucun,3,Aucun patrimoine,33,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Mauvais client
0-200 DM,8,Crédits en cours remboursés,Meubles/Équipement,1237,< 100 DM,1-4 ans,3,Femme divorcée/mariée,Aucun,4,Immobilier,24,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,9,Crédits en cours remboursés,Voiture (neuve),276,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,4,Immobilier,22,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,48,Crédits en cours remboursés,Autres,5381,Pas d'épargne,Sans emploi,3,Homme célibataire,Aucun,4,Aucun patrimoine,40,Banque,Gratuit,1,Sans emploi/Non qualifié (non-résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Meubles/Équipement,5511,100-500 DM,1-4 ans,4,Homme célibataire,Aucun,1,Voiture ou autre,25,Magasins,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
>= 200 DM,24,Crédits en cours remboursés,Meubles/Équipement,3749,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,26,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,12,Crédits en cours remboursés,Voiture (neuve),685,< 100 DM,4-7 ans,2,Homme marié/veuf,Aucun,3,Voiture ou autre,25,Banque,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
>= 200 DM,4,Crédits en cours remboursés,Voiture (neuve),1494,Pas d'épargne,< 1 an,1,Homme célibataire,Aucun,2,Immobilier,29,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Non,Bon client
< 0 DM (découvert),36,Tous crédits remboursés ici,Meubles/Équipement,2746,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,31,Banque,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),12,Crédits en cours remboursés,Meubles/Équipement,708,< 100 DM,1-4 ans,2,Homme célibataire,Garant,3,Épargne logement/Assurance vie,38,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
0-200 DM,24,Crédits en cours remboursés,Meubles/Équipement,4351,Pas d'épargne,1-4 ans,1,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,48,Aucun,Propriétaire,1,Non qualifié (résident),1,Oui (à son nom),Oui,Bon client
Pas de compte,12,Compte critique / autres crédits,Éducation,701,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,32,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),15,Retards de paiement passés,Meubles/Équipement,3643,< 100 DM,>= 7 ans,1,Femme divorcée/mariée,Aucun,4,Épargne logement/Assurance vie,27,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,30,Compte critique / autres crédits,Voiture (neuve),4249,< 100 DM,Sans emploi,4,Homme marié/veuf,Aucun,2,Voiture ou autre,28,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Non,Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Radio/Télévision,1938,< 100 DM,< 1 an,4,Homme divorcé/séparé,Aucun,3,Épargne logement/Assurance vie,32,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Voiture (occasion),2910,< 100 DM,4-7 ans,2,Homme célibataire,Aucun,1,Aucun patrimoine,34,Aucun,Gratuit,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),18,Crédits en cours remboursés,Meubles/Équipement,2659,>= 1000 DM,1-4 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
Pas de compte,18,Compte critique / autres crédits,Voiture (neuve),1028,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,3,Immobilier,36,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
< 0 DM (découvert),8,Compte critique / autres crédits,Voiture (neuve),3398,< 100 DM,4-7 ans,1,Homme célibataire,Aucun,4,Immobilier,39,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Non,Bon client
Pas de compte,12,Compte critique / autres crédits,Meubles/Équipement,5801,Pas d'épargne,>= 7 ans,2,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,49,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,24,Crédits en cours remboursés,Voiture (neuve),1525,>= 1000 DM,4-7 ans,4,Femme divorcée/mariée,Aucun,3,Voiture ou autre,34,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Oui (à son nom),Oui,Bon client
>= 200 DM,36,Crédits en cours remboursés,Radio/Télévision,4473,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,31,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,6,Crédits en cours remboursés,Radio/Télévision,1068,< 100 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Voiture ou autre,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Bon client
< 0 DM (découvert),24,Compte critique / autres crédits,Voiture (occasion),6615,< 100 DM,Sans emploi,2,Homme célibataire,Aucun,4,Aucun patrimoine,75,Aucun,Gratuit,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
Pas de compte,18,Compte critique / autres crédits,Éducation,1864,100-500 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Immobilier,30,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
0-200 DM,60,Crédits en cours remboursés,Voiture (neuve),7408,100-500 DM,< 1 an,4,Femme divorcée/mariée,Aucun,2,Épargne logement/Assurance vie,24,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Non,Oui,Mauvais client
Pas de compte,48,Compte critique / autres crédits,Voiture (occasion),11590,100-500 DM,1-4 ans,2,Femme divorcée/mariée,Aucun,4,Voiture ou autre,24,Banque,Location,2,Non qualifié (résident),1,Non,Oui,Mauvais client
< 0 DM (découvert),24,Aucun crédit / tous remboursés,Meubles/Équipement,4110,< 100 DM,>= 7 ans,3,Homme célibataire,Aucun,4,Aucun patrimoine,23,Banque,Location,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
< 0 DM (découvert),6,Compte critique / autres crédits,Meubles/Équipement,3384,< 100 DM,1-4 ans,1,Homme divorcé/séparé,Aucun,4,Immobilier,44,Aucun,Location,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
0-200 DM,13,Crédits en cours remboursés,Radio/Télévision,2101,< 100 DM,< 1 an,2,Femme divorcée/mariée,Garant,4,Épargne logement/Assurance vie,23,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
< 0 DM (découvert),15,Crédits en cours remboursés,Électroménager,1275,Pas d'épargne,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Voiture ou autre,24,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Mauvais client
< 0 DM (découvert),24,Crédits en cours remboursés,Meubles/Équipement,4169,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,4,Épargne logement/Assurance vie,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,10,Crédits en cours remboursés,Meubles/Équipement,1521,< 100 DM,1-4 ans,4,Homme divorcé/séparé,Aucun,2,Voiture ou autre,31,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,24,Compte critique / autres crédits,Éducation,5743,< 100 DM,< 1 an,2,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,24,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),21,Crédits en cours remboursés,Meubles/Équipement,3599,< 100 DM,4-7 ans,1,Femme divorcée/mariée,Aucun,4,Voiture ou autre,26,Aucun,Location,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Radio/Télévision,3213,500-1000 DM,< 1 an,1,Homme marié/veuf,Aucun,3,Immobilier,25,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,18,Crédits en cours remboursés,Business,4439,< 100 DM,>= 7 ans,1,Homme célibataire,Co-demandeur,1,Immobilier,33,Banque,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
>= 200 DM,10,Crédits en cours remboursés,Voiture (neuve),3949,< 100 DM,< 1 an,1,Homme célibataire,Garant,1,Épargne logement/Assurance vie,37,Aucun,Propriétaire,1,Non qualifié (résident),2,Non,Oui,Bon client
Pas de compte,15,Compte critique / autres crédits,Radio/Télévision,1459,< 100 DM,1-4 ans,4,Femme divorcée/mariée,Aucun,2,Voiture ou autre,43,Aucun,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,13,Compte critique / autres crédits,Radio/Télévision,882,< 100 DM,< 1 an,4,Homme célibataire,Garant,4,Immobilier,23,Aucun,Propriétaire,2,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
0-200 DM,24,Crédits en cours remboursés,Radio/Télévision,3758,500-1000 DM,Sans emploi,1,Femme divorcée/mariée,Aucun,4,Aucun patrimoine,23,Aucun,Location,1,Sans emploi/Non qualifié (non-résident),1,Non,Oui,Bon client
Pas de compte,6,Retards de paiement passés,Business,1743,100-500 DM,1-4 ans,1,Homme célibataire,Aucun,2,Immobilier,34,Aucun,Propriétaire,2,Non qualifié (résident),1,Non,Oui,Bon client
0-200 DM,9,Compte critique / autres crédits,Éducation,1136,>= 1000 DM,>= 7 ans,4,Homme célibataire,Aucun,3,Aucun patrimoine,32,Aucun,Gratuit,2,Qualifié/Employé/Fonctionnaire,2,Non,Oui,Mauvais client
Pas de compte,9,Crédits en cours remboursés,Électroménager,1236,< 100 DM,< 1 an,1,Femme divorcée/mariée,Aucun,4,Immobilier,23,Aucun,Location,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,9,Crédits en cours remboursés,Meubles/Équipement,959,< 100 DM,1-4 ans,1,Femme divorcée/mariée,Aucun,2,Voiture ou autre,29,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Non,Mauvais client
Pas de compte,18,Compte critique / autres crédits,Voiture (occasion),3229,Pas d'épargne,Sans emploi,2,Homme célibataire,Aucun,4,Aucun patrimoine,38,Aucun,Propriétaire,1,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Bon client
< 0 DM (découvert),12,Aucun crédit / tous remboursés,Radio/Télévision,6199,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Épargne logement/Assurance vie,28,Aucun,Location,2,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,10,Crédits en cours remboursés,Éducation,727,500-1000 DM,>= 7 ans,4,Homme célibataire,Aucun,4,Aucun patrimoine,46,Aucun,Gratuit,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
0-200 DM,24,Crédits en cours remboursés,Voiture (neuve),1246,< 100 DM,< 1 an,4,Homme célibataire,Aucun,2,Immobilier,23,Magasins,Propriétaire,1,Non qualifié (résident),1,Non,Oui,Mauvais client
Pas de compte,12,Compte critique / autres crédits,Radio/Télévision,2331,Pas d'épargne,>= 7 ans,1,Homme célibataire,Co-demandeur,4,Immobilier,49,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Oui (à son nom),Oui,Bon client
Pas de compte,36,Retards de paiement passés,Radio/Télévision,4463,< 100 DM,1-4 ans,4,Homme célibataire,Aucun,2,Voiture ou autre,26,Aucun,Propriétaire,2,Cadre/Indépendant/Dirigeant,1,Oui (à son nom),Oui,Mauvais client
Pas de compte,12,Crédits en cours remboursés,Radio/Télévision,776,< 100 DM,1-4 ans,4,Homme marié/veuf,Aucun,2,Immobilier,28,Aucun,Propriétaire,1,Qualifié/Employé/Fonctionnaire,1,Non,Oui,Bon client
